"Periode_id","Annee_scolaire","Formation","Niveau","Type","Date_debut","Date_fin","Offre_temporaire_proposee","Offres_candidates","Libelle_periode_propose","Code_periode_propose","Classification","Ambiguite"
"9","2026-2027","T BAC PRO","CIEL","PFMP Tbac","2027-01-18","2027-02-05","2026-2027__CLASSE_25","2026-2027__CLASSE_25","PFMP Tbac — CIEL — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_CIEL_01","Correspondance certaine",""
"10","2026-2027","T BAC PRO","CPA","PFMP Tbac","2027-01-18","2027-02-05","2026-2027__CLASSE_24","2026-2027__CLASSE_24","PFMP Tbac — CPA — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_CPA_01","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
"11","2026-2027","T BAC PRO","MVA","PFMP Tbac","2027-01-18","2027-02-05","","2026-2027__CLASSE_30|2026-2027__CLASSE_31","PFMP Tbac — MVA — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_MVA_01","Correspondance impossible à déterminer","La période correspond à 2 classes actives ; une référence Offre_formation unique est insuffisante."
"12","2026-2027","T BAC PRO","MELEC","PFMP Tbac","2027-01-18","2027-02-05","","2026-2027__CLASSE_26|2026-2027__CLASSE_27|2026-2027__CLASSE_38","PFMP Tbac — MELEC — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_MELEC_01","Correspondance impossible à déterminer","La période correspond à 3 classes actives ; une référence Offre_formation unique est insuffisante."
"13","2026-2027","T BAC PRO","MP3D","PFMP Tbac","2027-01-18","2027-02-05","2026-2027__CLASSE_28","2026-2027__CLASSE_28","PFMP Tbac — MP3D — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_MP3D_01","Correspondance certaine",""
"14","2026-2027","T BAC PRO","MT","PFMP Tbac","2027-01-18","2027-02-05","2026-2027__CLASSE_29","2026-2027__CLASSE_29","PFMP Tbac — MT — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_MT_01","Correspondance certaine",""
"15","2026-2027","T BAC PRO","RMO","PFMP Tbac","2027-01-18","2027-02-05","2026-2027__CLASSE_32","2026-2027__CLASSE_32","PFMP Tbac — RMO — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_RMO_01","Correspondance certaine",""
"16","2026-2027","T BAC PRO","RSP","PFMP Tbac","2027-01-18","2027-02-05","2026-2027__CLASSE_33","2026-2027__CLASSE_33","PFMP Tbac — RSP — 2027-01-18 au 2027-02-05","2026_2027_T_BAC_PRO_RSP_01","Correspondance certaine",""
"25","2026-2027","1 BAC PRO","CIEL","PFMP 1ère","2026-11-23","2026-12-18","2026-2027__CLASSE_4","2026-2027__CLASSE_4","PFMP 1ère — CIEL — 2026-11-23 au 2026-12-18","2026_2027_1_BAC_PRO_CIEL_01","Correspondance certaine",""
"26","2026-2027","1 BAC PRO","CPA","PFMP 1ère","2026-11-23","2026-12-18","2026-2027__CLASSE_3","2026-2027__CLASSE_3","PFMP 1ère — CPA — 2026-11-23 au 2026-12-18","2026_2027_1_BAC_PRO_CPA_01","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
